Abbreviation	Subsystem_new	removed_duplicate_subsystem	evidence
r_4020	isa reaction from yeast5		yeast5
r_4021	isa reaction from yeast5		yeast5
r_4022	isa reaction from yeast5		yeast5
r_4023	isa reaction from yeast5		yeast5
r_4024	isa reaction from yeast5		yeast5
r_4025	isa reaction from yeast5		yeast5
r_4026	isa reaction from yeast5		yeast5
r_4027	isa reaction from yeast5		yeast5
r_4028	isa reaction from yeast5		yeast5
r_4029	isa reaction from yeast5		yeast5
r_4030	isa reaction from yeast5		yeast5
r_4031	isa reaction from yeast5		yeast5
r_4032	isa reaction from yeast5		yeast5
r_4033	isa reaction from yeast5		yeast5
r_4034	isa reaction from yeast5		yeast5
r_4035	isa reaction from yeast5		yeast5
r_4036	isa reaction from yeast5		yeast5
r_4037	isa reaction from yeast5		yeast5
r_1542	exchange reaction		
r_1543	transport [cytoplasm, cell_envelope]		
r_1545	exchange reaction		
r_1546	exchange reaction		
r_1547	exchange reaction		
r_1548	exchange reaction		
r_1549	exchange reaction		
r_1550	exchange reaction		
r_1551	exchange reaction		
r_1552	exchange reaction		
r_1553	exchange reaction		
r_1554	exchange reaction		
r_1560	transport [cytoplasm, nucleus]		
r_1562	transport [cytoplasm, endoplasmic_reticulum]		
r_1563	exchange reaction		
r_1564	exchange reaction		
r_1565	exchange reaction		
r_1566	exchange reaction		
r_1567	transport [cytoplasm, mitochondrion]		
r_1568	transport [cytoplasm, mitochondrion]		
r_1572	exchange reaction		
r_1573	transport [cytoplasm, extracellular]		
r_1574	transport [cytoplasm, mitochondrion]		
r_1575	transport [cytoplasm, extracellular]		
r_1576	transport [cytoplasm, mitochondrion]		
r_1577	exchange reaction		
r_1578	transport [cytoplasm, extracellular]		
r_1579	transport [cytoplasm, mitochondrion]		
r_1580	exchange reaction		
r_1581	exchange reaction		
r_1582	transport [cytoplasm, extracellular]		
r_1583	transport [cytoplasm, mitochondrion]		
r_1585	transport [cytoplasm, mitochondrion]		
r_1586	exchange reaction		
r_1587	transport [cytoplasm, nucleus]		
r_1588	transport [cytoplasm, extracellular]		
r_1589	exchange reaction		
r_1590	transport [cytoplasm, extracellular]		
r_1591	transport [cytoplasm, mitochondrion]		
r_1595	transport [cytoplasm, mitochondrion]		
r_1596	transport [cytoplasm, mitochondrion]		
r_1597	transport [cytoplasm, extracellular]		
r_1598	exchange reaction		
r_1599	transport [cytoplasm, extracellular]		
r_1600	transport [cytoplasm, mitochondrion]		
r_1601	transport [cytoplasm, mitochondrion]		
r_1603	sce00730  thiamine metabolism 		imm904
r_1604	exchange reaction		
r_1605	transport [cytoplasm, extracellular]		
r_1606	transport [cytoplasm, mitochondrion]		
r_1607	transport [cytoplasm, mitochondrion]		
r_1608	transport [cytoplasm, mitochondrion]		
r_1609	transport [cytoplasm, mitochondrion]		
r_1610	transport [cytoplasm, peroxisome]		
r_1611	transport [cytoplasm, mitochondrion]		
r_1613	sce00230  purine metabolism 		kegg and MNX
r_1614	sce00230  purine metabolism 		kegg and MNX
r_1615	sce00240  pyrimidine metabolism 		kegg and MNX
r_1616	sce00230  purine metabolism 		kegg and MNX
r_1617	sce00240  pyrimidine metabolism 		kegg and MNX
r_1618	sce00240  pyrimidine metabolism 		kegg and MNX
r_1620	sce00230  purine metabolism 		kegg and MNX
r_1621	exchange reaction		
r_1622	transport [cytoplasm, mitochondrion]		
r_1623	sce00670  one carbon pool by folate 		kegg and imm904
r_1624	sce00670  one carbon pool by folate 		kegg and imm904
r_1625	exchange reaction		
r_1627	exchange reaction		
r_1628	transport [cytoplasm, extracellular]		
r_1629	exchange reaction		
r_1630	exchange reaction		
r_1631	exchange reaction		
r_1632	transport [cytoplasm, mitochondrion]		
r_1633	transport [cytoplasm, extracellular]		
r_1634	exchange reaction		
r_1635	transport [cytoplasm, nucleus]		
r_1637	transport [cytoplasm, nucleus]		
r_1638	transport [cytoplasm, peroxisome]		
r_1639	exchange reaction		
r_1640	transport [cytoplasm, mitochondrion]		
r_1641	exchange reaction		
r_1642	transport [cytoplasm, mitochondrion]		
r_1643	exchange reaction		
r_1644	transport [cytoplasm, nucleus]		
r_1645	transport [cytoplasm, endoplasmic_reticulum]		
r_1647	transport [cytoplasm, peroxisome]		
r_1648	exchange reaction		
r_1649	exchange reaction		
r_1650	exchange reaction		
r_1651	exchange reaction		
r_1652	transport [cytoplasm, extracellular]		
r_1654	exchange reaction		
r_1656	transport [cytoplasm, nucleus]		
r_1658	transport [cytoplasm, mitochondrion]		
r_1659	transport [cytoplasm, peroxisome]		
r_1660	transport [cytoplasm, nucleus]		
r_1661	transport [cytoplasm, endoplasmic_reticulum]		
r_1663	exchange reaction		
r_1664	other		can’t be found
r_1665	other		can’t be found
r_1667	other		can’t be found
r_1668	other		can’t be found
r_1669	transport [cytoplasm, nucleus]		
r_1671	exchange reaction		
r_1672	exchange reaction		
r_1673	transport [cytoplasm, peroxisome]		
r_1674	transport [cytoplasm, peroxisome]		
r_1675	transport [cytoplasm, nucleus]		
r_1676	transport [endoplasmic_reticulum, golgi]		
r_1677	transport [endoplasmic_reticulum, golgi]		
r_1678	transport [endoplasmic_reticulum, golgi]		
r_1679	transport [endoplasmic_reticulum, golgi]		
r_1680	transport [endoplasmic_reticulum, golgi]		
r_1681	transport [endoplasmic_reticulum, golgi]		
r_1682	sce00100  steroid biosynthesis 		kegg and imm904
r_1683	exchange reaction		
r_1684	transport [cytoplasm, cell_envelope]		
r_1685	sce00130  ubiquinone and other terpenoid-quinone biosynthesis 		kegg and MNX
r_1686	transport [cytoplasm, extracellular]		
r_1687	exchange reaction		
r_1688	transport [cytoplasm, peroxisome]		
r_1689	transport [cytoplasm, peroxisome]		
r_1690	sce00240  pyrimidine metabolism 		kegg and MNX
r_1691	transport [cytoplasm, endoplasmic_reticulum]		
r_1694	transport [cytoplasm, nucleus]		
r_1695	transport [cytoplasm, peroxisome]		
r_1696	transport [cytoplasm, mitochondrion]		
r_1697	transport [cytoplasm, extracellular]		
r_1698	transport [cytoplasm, endoplasmic_reticulum]		
r_1699	transport [cytoplasm, nucleus]		
r_1700	transport [cytoplasm, peroxisome]		
r_1701	transport [cytoplasm, golgi]		
r_1702	exchange reaction		
r_1703	sce00240  pyrimidine metabolism 		kegg and MNX
r_1704	sce00240  pyrimidine metabolism 		kegg and MNX
r_1705	exchange reaction		
r_1706	exchange reaction		
r_1707	transport [cytoplasm, extracellular]		
r_1708	transport [cytoplasm, mitochondrion]		
r_1709	exchange reaction		
r_1710	exchange reaction		
r_1711	exchange reaction		
r_1712	exchange reaction		
r_1713	transport [cytoplasm, extracellular]		
r_1714	exchange reaction		
r_1715	exchange reaction		
r_1716	exchange reaction		
r_1717	transport [cytoplasm, extracellular]		
r_1718	exchange reaction		
r_1719	transport [cytoplasm, extracellular]		
r_1720	transport [cytoplasm, nucleus]		
r_1721	transport [cytoplasm, nucleus]		
r_1722	sce00230  purine metabolism 		kegg
r_1723	sce00230  purine metabolism 		kegg
r_1724	sce00230  purine metabolism 		kegg
r_1725	sce00230  purine metabolism 		kegg
r_1726	transport [cytoplasm, nucleus]		
r_1727	exchange reaction		
r_1728	transport [cytoplasm, extracellular]		
r_1729	sce00230  purine metabolism 		kegg and MNX
r_1730	exchange reaction		
r_1731	transport [cytoplasm, extracellular]		
r_1732	transport [cytoplasm, extracellular]		
r_1733	transport [cytoplasm, extracellular]		
r_1734	sce00240  pyrimidine metabolism 		kegg and MNX
r_1735	transport [cytoplasm, extracellular]		
r_1736	sce00770  pantothenate and coa biosynthesis 		imm904
r_1737	transport [cytoplasm, nucleus]		
r_1738	transport [cytoplasm, mitochondrion]		
r_1739	sce00330  arginine and proline metabolism 		kegg. NOT SURE
r_1743	transport [cytoplasm, mitochondrion]		
r_1744	sce00790  folate biosynthesis 		MNX
r_1745	transport [cytoplasm, mitochondrion]		
r_1746	transport [cytoplasm, mitochondrion]		
r_1747	transport [cytoplasm, peroxisome]		
r_1748	transport [cytoplasm, endoplasmic_reticulum]		
r_1749	exchange reaction		
r_1750	transport [cytoplasm, extracellular]		
r_1751	transport [cytoplasm, nucleus]		
r_1752	transport [cytoplasm, nucleus]		
r_1753	exchange reaction		
r_1754	transport [cytoplasm, endoplasmic_reticulum]		
r_1757	exchange reaction		
r_1758	transport [cytoplasm, endoplasmic_reticulum]		
r_1759	transport [cytoplasm, lipid_particle]		
r_1760	transport [cytoplasm, cell_envelope]		
r_1761	exchange reaction		
r_1762	transport [cytoplasm, extracellular]		
r_1763	transport [cytoplasm, mitochondrion]		
r_1764	exchange reaction		
r_1765	exchange reaction		
r_1766	transport [cytoplasm, mitochondrion]		
r_1770	transport [cytoplasm, peroxisome]		
r_1771	transport [cytoplasm, peroxisome]		
r_1772	transport [cytoplasm, peroxisome]		
r_1774	transport [cytoplasm, peroxisome]		
r_1775	transport [cytoplasm, peroxisome]		
r_1776	transport [cytoplasm, peroxisome]		
r_1777	transport [cytoplasm, extracellular]		
r_1788	exchange reaction		
r_1790	sce00740  riboflavin metabolism 		imm904
r_1791	exchange reaction		
r_1792	exchange reaction		
r_1793	exchange reaction		
r_1794	transport [cytoplasm, mitochondrion]		
r_1795	transport [cytoplasm, extracellular]		
r_1796	transport [cytoplasm, extracellular]		
r_1797	sce00051  fructose and mannose metabolism 		imm904
r_1798	exchange reaction		
r_1800	exchange reaction		
r_1801	transport [cytoplasm, golgi]		
r_1802	transport [cytoplasm, nucleus]		
r_1803	transport [cytoplasm, golgi]		
r_1805	transport [cytoplasm, vacuole]		
r_1806	exchange reaction		
r_1807	exchange reaction		
r_1808	exchange reaction		
r_1809	transport [cytoplasm, mitochondrion]		
r_1810	exchange reaction		
r_1811	transport [cytoplasm, mitochondrion]		
r_1812	transport [cytoplasm, mitochondrion]		
r_1813	transport [cytoplasm, extracellular]		
r_1814	exchange reaction		
r_1815	exchange reaction		
r_1816	transport [cytoplasm, extracellular]		
r_1817	transport [cytoplasm, peroxisome]		
r_1818	exchange reaction		
r_1819	transport [cytoplasm, mitochondrion]		
r_1820	exchange reaction		
r_1821	sce00230  purine metabolism 		kegg and MNX
r_1822	transport [cytoplasm, mitochondrion]		
r_1823	transport [cytoplasm, extracellular]		
r_1824	transport [cytoplasm, extracellular]		
r_1825	transport [cytoplasm, endoplasmic_reticulum]		
r_1826	transport [cytoplasm, golgi]		
r_1827	transport [cytoplasm, lipid_particle]		
r_1829	transport [cytoplasm, nucleus]		
r_1830	transport [cytoplasm, peroxisome]		
r_1831	transport [cytoplasm, vacuole]		
r_1832	exchange reaction		
r_1833	transport [cytoplasm, endoplasmic_reticulum]		
r_1834	exchange reaction		
r_1835	transport [cytoplasm, extracellular]		
r_1836	transport [cytoplasm, extracellular]		
r_1837	transport [cytoplasm, mitochondrion]		
r_1839	transport [cytoplasm, nucleus]		
r_1840	transport [cytoplasm, mitochondrion]		
r_1841	exchange reaction		
r_1842	transport [cytoplasm, extracellular]		
r_1843	exchange reaction		
r_1844	transport [cytoplasm, mitochondrion]		
r_1845	transport [cytoplasm, extracellular]		
r_1846	transport [cytoplasm, mitochondrion]		
r_1847	exchange reaction		
r_1848	transport [cytoplasm, extracellular]		
r_1849	transport [cytoplasm, nucleus]		
r_1850	sce00230  purine metabolism 		kegg and MNX
r_1851	transport [endoplasmic_reticulum, golgi]		
r_1852	transport [endoplasmic_reticulum, golgi]		
r_1853	transport [endoplasmic_reticulum, golgi]		
r_1854	transport [endoplasmic_reticulum, golgi]		
r_1855	transport [endoplasmic_reticulum, golgi]		
r_1856	transport [endoplasmic_reticulum, golgi]		
r_1857	transport [endoplasmic_reticulum, golgi]		
r_1858	transport [endoplasmic_reticulum, golgi]		
r_1859	transport [endoplasmic_reticulum, golgi]		
r_1860	transport [endoplasmic_reticulum, golgi]		
r_1861	exchange reaction		
r_1862	exchange reaction		
r_1863	transport [cytoplasm, extracellular]		
r_1864	transport [cytoplasm, mitochondrion]		
r_1865	exchange reaction		
r_1866	exchange reaction		
r_1867	exchange reaction		
r_1868	transport [cytoplasm, extracellular]		
r_1869	transport [cytoplasm, mitochondrion]		
r_1870	exchange reaction		
r_1871	sce00330  arginine and proline metabolism 		imm904
r_1872	sce00260  glycine, serine and threonine metabolism 		kegg and MNX
r_1873	exchange reaction		
r_1874	transport [cytoplasm, mitochondrion]		
r_1875	exchange reaction		
r_1876	transport [cytoplasm, extracellular]		
r_1877	transport [cytoplasm, extracellular]		
r_1878	exchange reaction		
r_1879	exchange reaction		
r_1880	exchange reaction		
r_1881	exchange reaction		
r_1882	transport [cytoplasm, mitochondrion]		
r_1883	exchange reaction		
r_1884	transport [cytoplasm, mitochondrion]		
r_1885	transport [cytoplasm, peroxisome]		
r_1886	exchange reaction		
r_1887	sce00330  arginine and proline metabolism 		kegg and MNX
r_1889	exchange reaction		
r_1890	transport [cytoplasm, nucleus]		
r_1891	exchange reaction		
r_1892	transport [cytoplasm, nucleus]		
r_1893	exchange reaction		
r_1895	transport [cytoplasm, extracellular]		
r_1896	exchange reaction		
r_1897	exchange reaction		
r_1898	transport [cytoplasm, mitochondrion]		
r_1899	exchange reaction		
r_1900	exchange reaction		
r_1901	transport [cytoplasm, extracellular]		
r_1902	exchange reaction		
r_1903	exchange reaction		
r_1904	exchange reaction		
r_1905	transport [cytoplasm, mitochondrion]		
r_1906	exchange reaction		
r_1907	transport [cytoplasm, endoplasmic_reticulum]		
r_1908	transport [cytoplasm, extracellular]		
r_1909	exchange reaction		
r_1910	transport [cytoplasm, extracellular]		
r_1911	exchange reaction		
r_1912	exchange reaction		
r_1913	exchange reaction		
r_1914	exchange reaction		
r_1915	exchange reaction		
r_1916	exchange reaction		
r_1919	transport [cytoplasm, mitochondrion]		
r_1920	transport [endoplasmic_reticulum, golgi]		
r_1921	transport [endoplasmic_reticulum, golgi]		
r_1922	transport [endoplasmic_reticulum, golgi]		
r_1923	transport [endoplasmic_reticulum, golgi]		
r_1924	transport [endoplasmic_reticulum, golgi]		
r_1925	transport [endoplasmic_reticulum, golgi]		
r_1926	transport [endoplasmic_reticulum, golgi]		
r_1927	transport [endoplasmic_reticulum, golgi]		
r_1928	transport [endoplasmic_reticulum, golgi]		
r_1929	transport [endoplasmic_reticulum, golgi]		
r_1930	transport [cytoplasm, peroxisome]		
r_1931	exchange reaction		
r_1932	transport [cytoplasm, endoplasmic_reticulum]		
r_1935	transport [cytoplasm, mitochondrion]		
r_1936	sce00640  propanoate metabolism 		kegg and MNX
r_1937	transport [endoplasmic_reticulum, golgi]		
r_1938	transport [endoplasmic_reticulum, golgi]		
r_1939	transport [endoplasmic_reticulum, golgi]		
r_1940	transport [endoplasmic_reticulum, golgi]		
r_1941	transport [endoplasmic_reticulum, golgi]		
r_1942	transport [endoplasmic_reticulum, golgi]		
r_1943	transport [endoplasmic_reticulum, golgi]		
r_1944	transport [endoplasmic_reticulum, golgi]		
r_1945	transport [endoplasmic_reticulum, golgi]		
r_1946	transport [endoplasmic_reticulum, golgi]		
r_1947	exchange reaction		
r_1952	exchange reaction		
r_1963	transport [cytoplasm, endoplasmic_reticulum]		
r_1964	transport [cytoplasm, endoplasmic_reticulum]		
r_1965	transport [cytoplasm, mitochondrion]		
r_1966	transport [cytoplasm, nucleus]		
r_1967	exchange reaction		
r_1968	exchange reaction		
r_1970	transport [cytoplasm, nucleus]		
r_1971	transport [cytoplasm, peroxisome]		
r_1972	transport [cytoplasm, extracellular]		
r_1974	sce00230  purine metabolism 		kegg
r_1975	sce00230  purine metabolism 		kegg
r_1976	transport [cytoplasm, mitochondrion]		
r_1977	transport [cytoplasm, endoplasmic_reticulum]		
r_1978	transport [cytoplasm, mitochondrion]		
r_1979	transport [cytoplasm, extracellular]		
r_1980	transport [cytoplasm, peroxisome]		
r_1981	transport [cytoplasm, extracellular]		
r_1984	exchange reaction		
r_1987	exchange reaction		
r_1988	transport [cytoplasm, extracellular]		
r_1989	exchange reaction		
r_1990	transport [cytoplasm, extracellular]		
r_1991	transport [cytoplasm, peroxisome]		
r_1992	exchange reaction		
r_1993	exchange reaction		
r_1994	exchange reaction		
r_1995	transport [cytoplasm, endoplasmic_reticulum]		
r_1996	transport [cytoplasm, mitochondrion]		
r_1997	sce00770  pantothenate and coa biosynthesis 		imm904
r_1998	transport [cytoplasm, extracellular]		
r_1999	exchange reaction		
r_2000	exchange reaction		
r_2001	exchange reaction		
r_2002	transport [cytoplasm, extracellular]		
r_2003	transport [cytoplasm, mitochondrion]		
r_2004	transport [cytoplasm, mitochondrion]		
r_2005	exchange reaction		
r_2008	transport [cytoplasm, vacuole]		
r_2020	exchange reaction		
r_2022	transport [cytoplasm, mitochondrion]		
r_2023	transport [cytoplasm, mitochondrion]		
r_2024	exchange reaction		
r_2025	sce00750  vitamin b6 metabolism 		kegg and MNX
r_2026	sce00750  vitamin b6 metabolism 		kegg and MNX
r_2027	sce00750  vitamin b6 metabolism 		kegg and MNX
r_2028	exchange reaction		
r_2030	sce00740  riboflavin metabolism 		imm904
r_2031	sce00240  pyrimidine metabolism 		kegg
r_2032	transport [cytoplasm, mitochondrion]		
r_2033	exchange reaction		
r_2036	transport [cytoplasm, mitochondrion]		
r_2037	transport [cytoplasm, peroxisome]		
r_2038	exchange reaction		
r_2039	transport [cytoplasm, mitochondrion]		
r_2040	transport [cytoplasm, extracellular]		
r_2041	transport [cytoplasm, extracellular]		
r_2042	transport [cytoplasm, mitochondrion]		
r_2043	exchange reaction		
r_2044	exchange reaction		
r_2045	transport [cytoplasm, mitochondrion]		
r_2046	exchange reaction		
r_2049	exchange reaction		
r_2050	sce00330  arginine and proline metabolism 		kegg. NOT SURE
r_2051	exchange reaction		
r_2052	exchange reaction		
r_2053	transport [cytoplasm, endoplasmic_reticulum]		
r_2054	transport [cytoplasm, endoplasmic_reticulum]		
r_2055	exchange reaction		
r_2056	exchange reaction		
r_2057	transport [cytoplasm, extracellular]		
r_2058	exchange reaction		
r_2060	exchange reaction		
r_2061	exchange reaction		
r_2062	exchange reaction		
r_2063	transport [cytoplasm, endoplasmic_reticulum]		
r_2064	sce00730  thiamine metabolism 		imm904
r_2065	sce00730  thiamine metabolism 		imm904
r_2066	exchange reaction		
r_2067	exchange reaction		
r_2068	exchange reaction		
r_2069	sce00730  thiamine metabolism 		imm904
r_2070	other		can’t be found
r_2071	other		can’t be found
r_2072	transport [cytoplasm, mitochondrion]		
r_2073	exchange reaction		
r_2074	sce00240  pyrimidine metabolism 		kegg
r_2075	transport [cytoplasm, extracellular]		
r_2080	transport [cytoplasm, vacuole]		
r_2082	transport [cytoplasm, mitochondrion]		
r_2083	exchange reaction		
r_2084	transport [cytoplasm, extracellular]		
r_2085	transport [cytoplasm, mitochondrion]		
r_2086	transport [cytoplasm, mitochondrion]		
r_2087	transport [cytoplasm, peroxisome]		
r_2089	transport [cytoplasm, nucleus]		
r_2090	exchange reaction		
r_2091	exchange reaction		
r_2092	exchange reaction		
r_2093	transport [cytoplasm, mitochondrion]		
r_2094	transport [cytoplasm, endoplasmic_reticulum]		
r_2095	transport [cytoplasm, golgi]		
r_2096	transport [cytoplasm, mitochondrion]		
r_2097	transport [cytoplasm, nucleus]		
r_2098	transport [cytoplasm, peroxisome]		
r_2099	transport [cytoplasm, vacuole]		
r_2100	exchange reaction		
r_2101	transport [cytoplasm, extracellular]		
r_2102	exchange reaction		
r_2103	transport [cytoplasm, extracellular]		
r_2104	exchange reaction		
r_2105	transport [cytoplasm, extracellular]		
r_2106	exchange reaction		
r_2107	transport [cytoplasm, cell_envelope]		
r_2108	growth		
r_2111	exchange reaction		
r_2125	transport [cytoplasm, lipid_particle]		
r_2129	transport [cytoplasm, mitochondrion]		
r_2134	exchange reaction		
r_2136	transport [cytoplasm, extracellular]		
r_2137	exchange reaction		
r_2139	transport [cytoplasm, extracellular]		
r_2184	transport [cytoplasm, extracellular]		
r_2185	transport [cytoplasm, extracellular]		
r_2186	transport [cytoplasm, extracellular]		
r_2187	exchange reaction		
r_2188	exchange reaction		
r_2189	exchange reaction		
r_2190	transport [cytoplasm, extracellular]		
r_2191	transport [cytoplasm, extracellular]		
r_2192	transport [cytoplasm, extracellular]		
r_2193	exchange reaction		
r_2229	transport [cytoplasm, peroxisome]		
r_2230	transport [cytoplasm, peroxisome]		
r_2231	transport [cytoplasm, peroxisome]		
r_2812	sce00564  glycerophospholipid metabolism 		kegg
r_2813	sce00564  glycerophospholipid metabolism 		kegg
r_2814	sce00564  glycerophospholipid metabolism 		kegg
r_2815	sce00564  glycerophospholipid metabolism 		kegg
r_2816	sce00564  glycerophospholipid metabolism 		kegg
r_2817	sce00564  glycerophospholipid metabolism 		kegg
r_2818	sce00564  glycerophospholipid metabolism 		kegg
r_2819	sce00564  glycerophospholipid metabolism 		kegg
r_3332	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3333	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3334	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3335	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3336	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3337	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3338	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3339	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3340	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3341	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3342	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3343	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3344	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3345	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3346	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3347	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		kegg, not sure
r_3508	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3509	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3510	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3511	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3512	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3513	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3514	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3515	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3516	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3517	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3518	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3519	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3520	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3521	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3522	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3523	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3524	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3525	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3526	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3527	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3528	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3529	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3530	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3531	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3532	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3533	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3534	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3535	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3536	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3537	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3538	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3539	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3540	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3541	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3542	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3543	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3544	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3545	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3546	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3547	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3548	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3549	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3550	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3551	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3552	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3553	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3554	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3555	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3556	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3557	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3558	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3559	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3560	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3561	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3562	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3563	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3564	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3565	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3566	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3567	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3568	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3569	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3570	transport [cytoplasm, endoplasmic_reticulum_membrane]		
r_3571	transport [cytoplasm, lipid_particle]		
r_3572	transport [cytoplasm, lipid_particle]		
r_3573	transport [cytoplasm, lipid_particle]		
r_3574	transport [cytoplasm, lipid_particle]		
r_3575	transport [cytoplasm, lipid_particle]		
r_3576	transport [cytoplasm, lipid_particle]		
r_3577	transport [cytoplasm, lipid_particle]		
r_3578	transport [cytoplasm, lipid_particle]		
r_3579	transport [cytoplasm, lipid_particle]		
r_3580	transport [cytoplasm, lipid_particle]		
r_3581	transport [cytoplasm, lipid_particle]		
r_3582	transport [cytoplasm, lipid_particle]		
r_3583	transport [cytoplasm, lipid_particle]		
r_3584	transport [cytoplasm, lipid_particle]		
r_3585	transport [cytoplasm, lipid_particle]		
r_3586	transport [cytoplasm, lipid_particle]		
r_3587	transport [cytoplasm, lipid_particle]		
r_3588	transport [cytoplasm, lipid_particle]		
r_3589	transport [cytoplasm, lipid_particle]		
r_3590	transport [cytoplasm, lipid_particle]		
r_3591	transport [cytoplasm, lipid_particle]		
r_3592	transport [cytoplasm, lipid_particle]		
r_3593	transport [cytoplasm, lipid_particle]		
r_3594	transport [cytoplasm, lipid_particle]		
r_3595	transport [cytoplasm, lipid_particle]		
r_3596	transport [cytoplasm, lipid_particle]		
r_3597	transport [cytoplasm, lipid_particle]		
r_3598	transport [cytoplasm, lipid_particle]		
r_3599	transport [cytoplasm, lipid_particle]		
