Abbreviation	Subsystem_new	removed_duplicate_subsystem	evidence
r_0095	acetoin and butanediol biosynthesis	sce00010 Glycolysis   Gluconeogenesis	kegg
r_0096	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis  sce00770 Pantothenate and CoA biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980 and imm904
r_0097	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis  sce00650 Butanoate metabolism   sce00660 C5-Branched dibasic acid metabolism   sce00770 Pantothenate and CoA biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980 and imm904
r_0099	sce00061  fatty acid biosynthesis 	sce00190 Oxidative phosphorylation	"imm904; wrong gene information?"
r_0100	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids  sce01212 Fatty acid metabolism   sce04146 Peroxisome	ito980
r_0101	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids  sce01212 Fatty acid metabolism   sce04146 Peroxisome	ito980
r_0102	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids  sce01212 Fatty acid metabolism   sce04146 Peroxisome	ito980
r_0103	sce00071  fatty acid degradation  kegg Glyoxylate and dicarboxylate metabolism /sce00640 Propanoate metabolism /sce00650 Butanoate metabolism /sce00900 Terpenoid backbone biosynthesis /sce01212 Fatty acid metabolism	sce00072 Synthesis and degradation of ketone bodies   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00380 Tryptophan metabolism   sce00620 Pyruvate metabolism   sce00630	
r_0104	sce00071  fatty acid degradation  kegg Glyoxylate and dicarboxylate metabolism /sce00640 Propanoate metabolism /sce00650 Butanoate metabolism /sce00900 Terpenoid backbone biosynthesis /sce01212 Fatty acid metabolism	sce00072 Synthesis and degradation of ketone bodies   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00380 Tryptophan metabolism   sce00620 Pyruvate metabolism   sce00630	
r_0105	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids  sce01212 Fatty acid metabolism   sce04146 Peroxisome	ito980
r_0106	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids  sce01212 Fatty acid metabolism   sce04146 Peroxisome	ito980
r_0107	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids  sce01212 Fatty acid metabolism   sce04146 Peroxisome	ito980
r_0108	sce00061  fatty acid biosynthesis 	sce00620 Pyruvate metabolism   sce00640 Propanoate metabolism   sce01212 Fatty acid metabolism	ito980
r_0109	sce00061  fatty acid biosynthesis 	sce00620 Pyruvate metabolism   sce00640 Propanoate metabolism   sce01212 Fatty acid metabolism	ito980
r_0111	sce00620  pyruvate metabolism 		
r_0112	sce00620  pyruvate metabolism 	sce00640 Propanoate metabolism   sce00010 Glycolysis   Gluconeogenesis	ito980 and imm904
r_0113	sce00620  pyruvate metabolism 	sce00640 Propanoate metabolism   sce00010 Glycolysis   Gluconeogenesis	ito980 and imm904
r_0114	sce00620  pyruvate metabolism 	sce00640 Propanoate metabolism   sce00010 Glycolysis   Gluconeogenesis	ito980 and imm904
